Name,Location,Study Program,Sector,Affiliation,Rating
Campus.pk Lahore,"Office 206, 2nd Floor Siddique Trade Center Main Boulevard Gulberg III Lahore ",FSc Pre Engineering Fsc Pre Medical,Private,ads,0*
Allama Iqbal Open University Aiou Islamabad,"Sector H-8, Islamabad-44000",FSc Pre Engineering ICs Computer Science FSc Pre Medical Higher Secondary School Certificate ( FA - Dars-E-Nazami Group) Higher Secondary School Certificate ( FA - General Group) Icom FA,Public,N/A,5*
Government College University Gcu Lahore,"GC University, Katchery Road Lahore 54000",FSc Pre Engineering ICS Computer Science FSc Pre Medical F.A (Arts) F.A (General Science) I.Com,Public,HEC,4*
Govt College University GCU Faisalabad,"Kotwali Rd, Faisalabad 38000",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,HEC,3*
Lahore College For Women University (Lcwu) Lahore,"Near Wapda Flats, Jail Road, Lahore",FA Arts FSc Pre Engineering ICS Physics ICS Statistics ICS Economics FSc Pre Medical F.A (Home Economics) F.A (General Science) F.Sc (Applied Psychology) Icom,Public,N/A,5*
University Of Agriculture Faisalabad,"University of Agriculture, Agriculture University Road, Faisalabad, . Zip Code 38000.",FSc Pre Agriculture,Public,N/A,5*
Pir Mehr Ali Shah Arid Agriculture University Rawalpindi,"PMAS-Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi - .",FSc Pre Agriculture,Public,N/A,5*
International Islamic University Iiu Islamabad,"International Islamic University Sector H-10, Islamabad",FSc Pre-Engineering ICS FSc Pre-Medical Icom FA FA General Science,Public,N/A,5*
Kinnaird College For Women Lahore,"93- Jail Road, Lahore",FSc Pre Engineering ICS ICS Statistics ICS Physics FSc Pre Medical Icom FA Humanities FA General Science,Public,N/A,5*
The Women University Multan,"Kutchery Campus, L.M.Q. Road, Multan.",FSc Pre Engineering ICS FSc Pre Medical General Science FA,Public,N/A,0*
Forman Christian College University Lahore,Ferozepur Road Lahore 54600 ,FSc Pre Engineering ICS Computer Sciecne FSc Pre Medical ICS Statistics ICS Physics Icom FA Arts FA General Science,Private,N/A,4*
Riphah International College Lahore,Head Office :28-M Quaid-e-Azam Industrial Estate Kot Lakhpat Lahore,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,N/A,0*
Punjab Group of Colleges PGC Lahore,"1 Noon Avenue, New Muslim Town at Canal Bank Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical FA General Science Icom,Private,"University of the Punjab Lahore 
 BISE Lahore",2*
"Queen Mary College, Lahore","2-Durrand Road Garhi Shahu, Lahore",FSc Pre Engineering Intermediate in Home Economics ICs Computer Science FSc Pre Medical General Science Icom FA,Public,N/A,1*
Superior University,"31 Tipu Block new Garden town Lahore kalma chowk. 17 km Main Raiwind Road, Lahore.",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,N/A,4*
University Of Peshawar,"Baragali Summer Campus, Peshawar",FSc Pre Engineering FSc Pre Medical FSc FA,Public,N/A,3.5*
Allama Iqbal Open University Lahore AIOU,"Regional Campus, Allama Iqbal Open University, 346 Raza Block, Allama Iqbal Town, LAHORE",Higher Secondary School Certificate (Dars-E-Nazami Group)  Intermediate in Commerce ICom Higher Secondary School Certificate (General Group),Public,N/A,5*
Islamia College Peshawar,Islamia College Peshawar University Campus Peshawar Khyber Pakhtunkhwa ,FSc Pre Engineering ICS FSc Pre Medical FA ,Public,N/A,5*
Government Sadiq College Women University Bahawalpur,Cheema Town Near BISE Bahawalpur,Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,N/A,3*
Govt College of Science Wahdat Road Lahore,"Govt. College of Science, Wahdat Road Lahore, ",FSC pre Engineering ICS FSC pre medical ICOM FA FA General Science,Public,"Board of Intermediate Secondary Education Lahore 
 University of the Punjab Lahore",3*
Muhammad Nawaz Sharif University Of Agriculture Multan,"Sui gas Road, Old Shujaabad Road, Multan.",FSc Pre Agriculture,Public,N/A,4.25*
Government College For Women University Gcwu Faisalabad,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Public,N/A,4*
The University of Lahore,The University of Lahore 1-KM Raiwind Road Lahore ,FSc Pre Engineering Fsc Pre Medical ,Private,N/A,3*
Minhaj University Lahore,"Near Hamdard Chowk, Township, Lahore.",ICS FA FA General Science,Private,Higher Education Commission,3.25*
Lahore Garrison University (LGU),"Sector C, DHA Phase-VI Lahore",Fsc Pre Engineering ICS FSc Pre Medical Icom FA,Private,N/A,5*
Govt Islamia College Civil Lines Lahore,"Govt. Islamia College Civil Lines, Near Kuchari Lahore.",FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical Icom FA FA General Science,Public,"BISE Lahore 
 Punjab University",2*
Govt MAO College Lahore,Lower Mall Road Lahore opp Edcuation University,FSc Pre Engineering ICS Statistics ICS Physics FSc Pre Medical FA Icom FA General Science,Public,University of the Punjab Lahore,4*
"Army Medical College, Rawalpindi",Abid Majid Road Rawalpindi Cantt  46000,FSc Pre Medical,N/A,N/A,3*
Kips College Lahore,"30-A, Johar Town, Lahore",FSc Pre Engineering ICS Computer Science FSc Pre Medical A level Icom FA,Private,BISE Lahore,4*
Govt Post Graduate Islamia College for Women Cooper Road Lahore,"Cooper Road, Lahore",FSc Pre Engineering ICs Computer Sciecne FSc Pre Medical ICS Physics F.A (General Science) Icom FA Arts,N/A,Board of Intermediate and Secondary Education Lahore University of the Punjab Lahore College for Women University,0*
Govt Post Graduate College for Women Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA ICom FSc Pre Medical FSc Pre Engineering ICS,Public,N/A,2*
College of Tourism and Hotel Management COTHM Pakistan,"5-C Main Gulberg II, Ayesha Saddiqa Road (Behind EFU House) Jail Road, Lahore, ",Intermediate in Culinary Arts (PBTE) Intermediate in Hotel Operations (PBTE) ,Private,N/A,5*
Shaheed Zulfiqar Ali Bhutto Medical University Islamabad,"PIMS, Islamabad",FSc Medical Laboratory Technology FSc Dental Hygiene Technology FSc Ophthalmology Technology FSc Medical Imaging Technology FSc Physiotherapy Technology Fsc OT Technology ,Public,N/A,5*
Pakistan Military Academy Abbottabad,"Kakul Road, Abbottabad",FA Fsc Pre Medical ICS Computer Science ICom FSc Pre Engineering,Public,N/A,5*
University Of Balochistan Quetta,"Sariab Road, Quetta",FA Fsc Pre Medical ,Public,N/A,3.5*
Gift University Gujranwala,"GIFT University, Near GIFT University Chowk, Gujranwala- 52250.",FSc Pre Engineering FSc Pre Medical ICs Computer Science ICom Commerce FA,Private,N/A,4.5*
Superior Group of Colleges Faisalabad,"103-C Peoples Colony-1, Faisalabad",Icom ICs Computer Science FA FSc Pre Engineering FSc Pre Medical,Private,N/A,5*
National Textile Institute NTI Islamabad,"18, Lukman Hakim Road G/6 -3 Islamabad, ",I.TAF (INTERMEDIATE IN TEXTILE & FASHION DESIGNING),Private,"Federal Board of Intermediate and Secondary Education, Islamabad.
Sarhad University of science & IT, Peshawar.",0*
Govt Post Graduate College For Women Satellite Town Gujranwala,Govt Post Graduate College For Women Satellite Town Gujranwala,FA FSc Pre Engineering Fsc Pre Medical ICS FA General Science ICom,Public,N/A,3*
Govt Post Graduate College Samanabad Faisalabad,Govt Post Graduate College Samanabad Faisalabad,FA ICS Icom FSc Pre Engineering FSc Pre Medical FA General Science,Public,N/A,0*
Punjab Group of Colleges Rawalpindi,"D-464, 6th road, Satellite Town Rawalpindi",FA Icom ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science,Private,N/A,4*
Bahria College Karsaz Karachi (BCKK),Habib Ibrahim Rahmatullah Road Karsaz Karachi,FSc Pre Medical FSc Pre Engineering ICs Computer Science Icom A Level FA,N/A,N/A,3*
Govt Viqar un Nisa College Rawalpindi,Govt Viqar un Nisa College Rawalpindi,FA Icom ICS FSC Pre medical FSc Pre Engineering,Public,N/A,2*
Islamabad College for Girls F-6/2 Islamabad,Islamabad College for Girls F-6/2 Islamabad,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS ICom,N/A,N/A,4*
University of Home Economics Lahore,"UNIVERSITY OF HOME ECONOMICS, GULBERG, LAHORE",Intermediate In (Home Economics) Intermediate In (Medical),N/A,N/A,3*
COMSATS Institute of Information Technology Abbottabad,"CIIT Abbottabad Campus University Road, Tobe Camp",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Public,N/A,3*
Superior Group of Colleges Gujranwala,"7-8/A Small Industrial State, Main G.T. Road, Gujranwala.",Fsc Pre Engineering Fsc Pre Medical Icom FA ICs Computer Science,Private,N/A,3*
Anees Hussain Karachi,DHA Karachi,FA FSc Pre Medical FSc Pre Engineering Icom ICs Computer Science A Level,N/A,N/A,5*
Allama Iqbal Open University AIOU Abbottabad.,"House No. CB 301, Adj. United Bank Ltd, Main Building Branch, Mansehra ",Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,Public,N/A,0*
EDGE System International Lahore,"21-L Gulberg III Main Ferozepur Road, Lahore",FSc Pre Engineering FSc Pre Medical FA ICS I.Com,N/A,BISE Lahore,3.25*
Rehman Medical College Peshawar,"4/A-3 Phase 5 , Hayatabad Peshawar - ",FSc (MT) Laboratory Technician Fsc (MT) Medical Image Technology FSc (MT) Operation Theatre Technician FSc (MT) Physiotherapy ,N/A,Khyber Medical University (KMU),4*
Army Public School and College Lahore Cantt,"52, Tufail Road, Lahore Cantt",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,N/A,N/A,5*
Pakistan Institute of Medical Technologies Islamabad,"Ghori Gardens Opposite Burma Pul, Street No. 3, Islamabad",FSc Pre Medical FSc Dental Technology FSc Medical Laboratory Technology FSc Operation Theatre Technician FSc Ophthalmic Technician FSc Physiotherapy Technician FSc Radiologic Technology DAE Civil Technology DAE Electrical Technology DAE Electronics Technology,Private,N/A,0*
CFE College of Accountancy and Finance Lahore,"10-B, Aibak Block, New Garden Town, Lahore, ",FSc Pre Medical FSc Pre Engineering ICS Icom ACCA,N/A,N/A,3*
National Institute of Management Science Faisalabad,"2nd Floor, Lyalpur Plaza, Satiana Road, Opp Ideal Sweet & Bakers, Faisalabad",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,N/A,0*
"STEP Institute of Art, Design & Management","4-C New Muslim Town (facing Canal), Lahore, ",A Level Art & Design A Level Business and Management ,N/A,N/A,0*
Govt Frontier College for Women Peshawar,Govt Frontier College for Women Peshawar,FA Fsc Pre Medical FSc Pre Engineering ,Public,N/A,4*
Govt College of Technology Raiwind Road Lahore,Dubai Town Raiwind Road Lahore,DAE Bio-medical DAE Civil Technology DAE Electrical Technology DAE Electronics Technology DAE Information Technology,Public,N/A,5*
The City School,"TC / A, Street, 34, Khayaban-e-Rahat, Phase V, DHA, Karachi.",A Level,Private,N/A,0*
Professionals Academy of Commerce Lahore PAC,"41 – T, GULBERG II, LAHORE",ICom,Private,N/A,4*
Allama Iqbal Open University Multan,"Regional Campus, Allama Iqbal Open University, CF-7, Shah Rukn-e-Alam Colony, Near Thana Stop MULTAN.",Intermediate in Commerce (I.Com)  Higher Secondary School Certificate (General Group)Higher Secondary School Certificate (Dars-E-Nazami Group),Public,N/A,0*
Allama Iqbal Open University AIOU Faisalabad,"Regional Campus, Allama Iqbal Open University, F-Block, Near STN Tower, Millat Town, FAISALABAD.",Intermediate in Commerce (I.Com),Public,N/A,0*
Govt. College of Technology Railway Road Lahore,"Govt. College of Technology, Railway Road, Lahore",DAE Architecture Technology  DAE Auto and Diesel Technology DAE Refrigeration and Air Conditioning Technology DAE Mechanical Technology DAE Mechanical Technology DAE Motorcycle MechanicDAE Refrigeration & Air-conditioningPost Diploma in Bio Medical Technology,N/A,N/A,3*
